Input Mass	Matched Mass	Delta	Name	Formula	Ion	LMSD Examples
295.22801	295.2279	.0001	FA 18:2;O	C18H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2;O
315.20968	315.2096	.0000	FA 18:2	C18H32O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2
315.20968	315.2096	.0000	SFE 18:2	C18H32O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=SFE 18:2
315.20968	315.2096	.0000	WE 18:2	C18H32O2	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=WE 18:2
319.22782	319.2279	.0001	FA 20:4;O	C20H32O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 20:4;O
319.22782	319.2279	.0001	ST 19:1;O	C19H30O	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 19:1;O
331.20460	331.2046	.0000	FA 18:2;O	C18H32O3	[M+Cl]-	/resources/tools/chemdb_ontology?abbrev=FA 18:2;O
297.24352	297.2435	.0000	FA 18:1;O	C18H34O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:1;O
345.24370	345.2435	.0002	FA 22:5;O	C22H34O3	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 22:5;O
345.24370	345.2435	.0002	ST 21:2;O	C21H32O	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=ST 21:2;O
345.24370	345.2435	.0002	ST 20:2;O	C20H30O	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=ST 20:2;O
354.26494	354.2650	.0000	SPB 19:3;O2	C19H35NO2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SPB 19:3;O2
354.26494	354.2650	.0000	SPB 18:3;O2	C18H33NO2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SPB 18:3;O2
413.29101	413.2909	.0001	WE 22:2;O2	C22H40O4	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=WE 22:2;O2
413.29101	413.2909	.0001	FA 21:2;O2	C21H38O4	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 21:2;O2
413.29101	413.2909	.0001	MG 18:2	C21H38O4	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=MG 18:2
313.23854	313.2384	.0001	FA 18:1;O2	C18H34O4	[M-H]-	/resources/tools/chemdb_ontology?abbrev=FA 18:1;O2
313.23854	313.2384	.0001	FA 17:1	C17H32O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=FA 17:1
313.23854	313.2384	.0001	SFE 17:1	C17H32O2	[M+Formate]-	/resources/tools/chemdb_ontology?abbrev=SFE 17:1
313.23854	313.2384	.0001	FA 16:1	C16H30O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=FA 16:1
313.23854	313.2384	.0001	SFE 16:1	C16H30O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=SFE 16:1
313.23854	313.2384	.0001	WE 16:1	C16H30O2	[M+OAc]-	/resources/tools/chemdb_ontology?abbrev=WE 16:1
